/gpx,,,,,,,,,,,
/@creator,/@version,/@version/#agg,/@xsi:schemaLocation,/metadata/copyright/@author,/metadata/copyright/license,/metadata/link/@href,/metadata/link/text,/metadata/name,/metadata/time,/trk/trkseg/trkpt/@lat,/trk/trkseg/trkpt/@lon
osrm,1.1,,http://www.topografix.com/GPX/1/1 http://www.topografix.com/GPX/1/1/gpx.xsd,OpenStreetMap contributors,http://www.openstreetmap.org/copyright,https://map.project-osrm.org/?z=10&center=-2.750332%2C-78.436890&loc=-2.304625%2C-78.117547&loc=-2.456017%2C-78.172663&loc=-2.966314%2C-78.430813&loc=-3.118336%2C-78.530016&hl=en&alt=0&srv=0,OpenStreetMap Routing with Open Source Routing Machine,"29 de Mayo, E45, E45, Via Mendez - Macas, E45, San Miguel del Conchay",5/18/2022 8:52,-2.30888,-78.12192
osrm,1.1,,http://www.topografix.com/GPX/1/1 http://www.topografix.com/GPX/1/1/gpx.xsd,OpenStreetMap contributors,http://www.openstreetmap.org/copyright,https://map.project-osrm.org/?z=10&center=-2.750332%2C-78.436890&loc=-2.304625%2C-78.117547&loc=-2.456017%2C-78.172663&loc=-2.966314%2C-78.430813&loc=-3.118336%2C-78.530016&hl=en&alt=0&srv=0,OpenStreetMap Routing with Open Source Routing Machine,"29 de Mayo, E45, E45, Via Mendez - Macas, E45, San Miguel del Conchay",5/18/2022 8:52,-2.30914,-78.12221
osrm,1.1,,http://www.topografix.com/GPX/1/1 http://www.topografix.com/GPX/1/1/gpx.xsd,OpenStreetMap contributors,http://www.openstreetmap.org/copyright,https://map.project-osrm.org/?z=10&center=-2.750332%2C-78.436890&loc=-2.304625%2C-78.117547&loc=-2.456017%2C-78.172663&loc=-2.966314%2C-78.430813&loc=-3.118336%2C-78.530016&hl=en&alt=0&srv=0,OpenStreetMap Routing with Open Source Routing Machine,"29 de Mayo, E45, E45, Via Mendez - Macas, E45, San Miguel del Conchay",5/18/2022 8:52,-2.30934,-78.12242
osrm,1.1,,http://www.topografix.com/GPX/1/1 http://www.topografix.com/GPX/1/1/gpx.xsd,OpenStreetMap contributors,http://www.openstreetmap.org/copyright,https://map.project-osrm.org/?z=10&center=-2.750332%2C-78.436890&loc=-2.304625%2C-78.117547&loc=-2.456017%2C-78.172663&loc=-2.966314%2C-78.430813&loc=-3.118336%2C-78.530016&hl=en&alt=0&srv=0,OpenStreetMap Routing with Open Source Routing Machine,"29 de Mayo, E45, E45, Via Mendez - Macas, E45, San Miguel del Conchay",5/18/2022 8:52,-2.30949,-78.12253
osrm,1.1,,http://www.topografix.com/GPX/1/1 http://www.topografix.com/GPX/1/1/gpx.xsd,OpenStreetMap contributors,http://www.openstreetmap.org/copyright,https://map.project-osrm.org/?z=10&center=-2.750332%2C-78.436890&loc=-2.304625%2C-78.117547&loc=-2.456017%2C-78.172663&loc=-2.966314%2C-78.430813&loc=-3.118336%2C-78.530016&hl=en&alt=0&srv=0,OpenStreetMap Routing with Open Source Routing Machine,"29 de Mayo, E45, E45, Via Mendez - Macas, E45, San Miguel del Conchay",5/18/2022 8:52,-2.30965,-78.12259
osrm,1.1,,http://www.topografix.com/GPX/1/1 http://www.topografix.com/GPX/1/1/gpx.xsd,OpenStreetMap contributors,http://www.openstreetmap.org/copyright,https://map.project-osrm.org/?z=10&center=-2.750332%2C-78.436890&loc=-2.304625%2C-78.117547&loc=-2.456017%2C-78.172663&loc=-2.966314%2C-78.430813&loc=-3.118336%2C-78.530016&hl=en&alt=0&srv=0,OpenStreetMap Routing with Open Source Routing Machine,"29 de Mayo, E45, E45, Via Mendez - Macas, E45, San Miguel del Conchay",5/18/2022 8:52,-2.30965,-78.12259
osrm,1.1,,http://www.topografix.com/GPX/1/1 http://www.topografix.com/GPX/1/1/gpx.xsd,OpenStreetMap contributors,http://www.openstreetmap.org/copyright,https://map.project-osrm.org/?z=10&center=-2.750332%2C-78.436890&loc=-2.304625%2C-78.117547&loc=-2.456017%2C-78.172663&loc=-2.966314%2C-78.430813&loc=-3.118336%2C-78.530016&hl=en&alt=0&srv=0,OpenStreetMap Routing with Open Source Routing Machine,"29 de Mayo, E45, E45, Via Mendez - Macas, E45, San Miguel del Conchay",5/18/2022 8:52,-2.30964,-78.12262
osrm,1.1,,http://www.topografix.com/GPX/1/1 http://www.topografix.com/GPX/1/1/gpx.xsd,OpenStreetMap contributors,http://www.openstreetmap.org/copyright,https://map.project-osrm.org/?z=10&center=-2.750332%2C-78.436890&loc=-2.304625%2C-78.117547&loc=-2.456017%2C-78.172663&loc=-2.966314%2C-78.430813&loc=-3.118336%2C-78.530016&hl=en&alt=0&srv=0,OpenStreetMap Routing with Open Source Routing Machine,"29 de Mayo, E45, E45, Via Mendez - Macas, E45, San Miguel del Conchay",5/18/2022 8:52,-2.30965,-78.12266
osrm,1.1,,http://www.topografix.com/GPX/1/1 http://www.topografix.com/GPX/1/1/gpx.xsd,OpenStreetMap contributors,http://www.openstreetmap.org/copyright,https://map.project-osrm.org/?z=10&center=-2.750332%2C-78.436890&loc=-2.304625%2C-78.117547&loc=-2.456017%2C-78.172663&loc=-2.966314%2C-78.430813&loc=-3.118336%2C-78.530016&hl=en&alt=0&srv=0,OpenStreetMap Routing with Open Source Routing Machine,"29 de Mayo, E45, E45, Via Mendez - Macas, E45, San Miguel del Conchay",5/18/2022 8:52,-2.30967,-78.12269
osrm,1.1,,http://www.topografix.com/GPX/1/1 http://www.topografix.com/GPX/1/1/gpx.xsd,OpenStreetMap contributors,http://www.openstreetmap.org/copyright,https://map.project-osrm.org/?z=10&center=-2.750332%2C-78.436890&loc=-2.304625%2C-78.117547&loc=-2.456017%2C-78.172663&loc=-2.966314%2C-78.430813&loc=-3.118336%2C-78.530016&hl=en&alt=0&srv=0,OpenStreetMap Routing with Open Source Routing Machine,"29 de Mayo, E45, E45, Via Mendez - Macas, E45, San Miguel del Conchay",5/18/2022 8:52,-2.30969,-78.12271
