Route,lat,lon,elevation
388,-2.4792,-78.16853,
389,-2.47929,-78.1685,
390,-2.47937,-78.16848,
391,-2.47951,-78.16845,
392,-2.48017,-78.16833,
393,-2.48025,-78.16831,
394,-2.48033,-78.16828,
395,-2.48042,-78.16827,
396,-2.48048,-78.16825,
397,-2.48055,-78.16823,
398,-2.48065,-78.1682,
399,-2.48073,-78.16817,
400,-2.48079,-78.16815,
401,-2.48088,-78.16811,
402,-2.48103,-78.16804,
403,-2.48145,-78.16782,
404,-2.48159,-78.16775,
405,-2.48175,-78.16767,
406,-2.48182,-78.16763,
407,-2.48195,-78.16756,
408,-2.48208,-78.16749,
409,-2.48221,-78.16742,
410,-2.48235,-78.16733,
411,-2.48246,-78.16726,
412,-2.48257,-78.16717,
413,-2.48271,-78.16705,
414,-2.48281,-78.16697,
415,-2.48293,-78.16686,
416,-2.48308,-78.16672,
417,-2.48325,-78.16658,
418,-2.48344,-78.16638,
419,-2.48351,-78.1663,
420,-2.4838,-78.16598,
421,-2.48387,-78.1659,
422,-2.48402,-78.16571,
423,-2.48419,-78.16551,
424,-2.48437,-78.16533,
425,-2.48471,-78.16503,
426,-2.48489,-78.16486,
427,-2.48513,-78.16467,
428,-2.48535,-78.16451,
429,-2.48563,-78.16431,
430,-2.48573,-78.16424,
431,-2.48585,-78.16414,
432,-2.48608,-78.16398,
433,-2.48628,-78.16383,
434,-2.48635,-78.16378,
435,-2.48659,-78.1636,
436,-2.48679,-78.16345,
437,-2.48699,-78.16331,
438,-2.48721,-78.16315,
439,-2.48744,-78.16298,
440,-2.48769,-78.16279,
441,-2.48789,-78.16265,
442,-2.48815,-78.16248,
443,-2.48849,-78.1623,
444,-2.48869,-78.16218,
445,-2.48898,-78.16203,
446,-2.48924,-78.16191,
447,-2.4895,-78.16179,
448,-2.49106,-78.16107,
449,-2.49135,-78.16092,
450,-2.49153,-78.16081,
451,-2.49172,-78.1607,
452,-2.49178,-78.16066,
453,-2.49188,-78.16059,
454,-2.49213,-78.16043,
455,-2.49234,-78.1603,
456,-2.49256,-78.16017,
457,-2.49281,-78.16,
458,-2.49303,-78.15986,
459,-2.49317,-78.15977,
460,-2.49329,-78.15969,
461,-2.49346,-78.15959,
462,-2.49357,-78.15952,
463,-2.4938,-78.15937,
464,-2.49409,-78.15919,
465,-2.49432,-78.15904,
466,-2.49453,-78.15891,
467,-2.49461,-78.15885,
468,-2.49471,-78.15879,
469,-2.49487,-78.15869,
470,-2.49499,-78.15861,
471,-2.49517,-78.15851,
472,-2.49536,-78.15842,
473,-2.49555,-78.15833,
474,-2.4957,-78.15826,
475,-2.49579,-78.15823,
476,-2.49601,-78.15815,
477,-2.49614,-78.15811,
478,-2.4963,-78.15805,
479,-2.49643,-78.15801,
480,-2.49704,-78.15782,
481,-2.49759,-78.15765,
482,-2.49797,-78.15753,
483,-2.49824,-78.15746,
484,-2.49848,-78.1574,
485,-2.49856,-78.15738,
486,-2.49886,-78.15731,
487,-2.49917,-78.15722,
488,-2.49924,-78.1572,
489,-2.49934,-78.15718,
490,-2.49956,-78.15713,
491,-2.49983,-78.15707,
492,-2.5,-78.15702,
493,-2.50027,-78.15696,
494,-2.5004,-78.15693,
495,-2.50066,-78.15686,
496,-2.50099,-78.15678,
497,-2.50113,-78.15675,
498,-2.50123,-78.15672,
499,-2.50132,-78.1567,
500,-2.50141,-78.15668,
501,-2.50153,-78.15664,
502,-2.50164,-78.15662,
503,-2.50176,-78.15658,
504,-2.50185,-78.15656,
505,-2.50194,-78.15652,
506,-2.50207,-78.15648,
507,-2.5022,-78.15643,
508,-2.50228,-78.1564,
509,-2.50255,-78.15627,
510,-2.50287,-78.15613,
511,-2.50294,-78.1561,
512,-2.50316,-78.15601,
513,-2.50324,-78.15598,
514,-2.50336,-78.15593,
515,-2.50361,-78.15584,
516,-2.50374,-78.15579,
517,-2.50411,-78.15565,
518,-2.50427,-78.15559,
519,-2.50439,-78.15555,
520,-2.50452,-78.1555,
521,-2.50466,-78.15546,
522,-2.50477,-78.15542,
523,-2.5049,-78.15538,
524,-2.50499,-78.15536,
525,-2.50505,-78.15535,
526,-2.50512,-78.15534,
527,-2.50522,-78.15532,
528,-2.50535,-78.1553,
529,-2.50549,-78.15528,
530,-2.50566,-78.15526,
531,-2.5058,-78.15524,
532,-2.50632,-78.15519,
533,-2.50645,-78.15518,
534,-2.50661,-78.15518,
535,-2.50672,-78.15517,
536,-2.50677,-78.15517,
